"ITEM","DESCRIPTION","BUSINESS_UNIT","FINANCIAL_BU","STOCK PRIORITY","Sourcing Apr.26","Sourcing May.26","Cambios","Sourcing Jun.26","Cambio"
"78881","APQ20-2","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"78884","APQ20-2V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"67551","APQS18-020","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"67552","APQS18-020H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"67553","APQS18-020V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"67554","APQS18-040","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"67555","APQS18-040H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"67556","APQS18-040V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"67557","APQS18-100","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"67558","APQS18-100H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"67559","APQS18-100V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"67560","APQS18-DVHX2","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73694","APQS30-040","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73697","APQS30-040H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73700","APQS30-040V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73695","APQS30-100","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73698","APQS30-100H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73701","APQS30-100V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73696","APQS30-200","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73699","APQS30-200H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73702","APQS30-200V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"79744","APQS30-DVH","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73703","APQS30-DVHX2","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"808708","APVFT-033","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"58933","APVS2-02R","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"58934","APVS2-04R","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"58931","APVS2-0204","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"58932","APVS2-0608","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"2738","APVS4-0206","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"60698","AT-FM-10K","30","Safety","S","USA to MTY","USA to MTY","0","USA to MTY","0"
"64290","ATK-VP6","30","Safety","N","CHN to MTY","CHN to MTY","0","CHN to MTY","0"
"64291","ATK-VP6Q","30","Safety","N","CHN to MTY","CHN to MTY","0","CHN to MTY","0"
"64292","ATK-VP6Q5","30","Safety","N","CHN to MTY","CHN to MTY","0","CHN to MTY","0"
"64287","ATK-VR81","30","Safety","N","CHN to MTY","CHN to MTY","0","CHN to MTY","0"
"64288","ATK-VR81Q","30","Safety","N","CHN to MTY","CHN to MTY","0","CHN to MTY","0"
"64289","ATK-VR81Q6","30","Safety","N","CHN to MTY","CHN to MTY","0","CHN to MTY","0"
"92223","B-TL70-5","60","Lighting","S","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"95277","B-TL70-5 W/16","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"92230","B-TL70-5C","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"92224","B-TL70-8","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"94204","B-TL70-Q1PMA","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"94396","B-TL70-Q2PMA","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"94085","B-TL70-Q3PMA","60","Lighting","S","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"815355","B-TL70-Q3PMA-815355","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"92226","B-TL70-Q5","60","Lighting","S","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"92233","B-TL70-Q5C","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"92227","B-TL70-Q8","60","Lighting","S","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"92234","B-TL70-Q8C","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"92228","B-TL70-QP5","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"92229","B-TL70-QP8","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"92225","B-TL70-T","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"92232","B-TL70-TC","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"814499","B-TL70B-Q5","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"814500","B-TL70B-Q8","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"801461","B-TL70DR2M-Q5","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"801462","B-TL70DR2M-Q8","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"801463","B-TL70DR9M-Q5","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"801464","B-TL70DR9M-Q8","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"94216","B-TL70DXN2-8","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"94217","B-TL70DXN2-Q5","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"94218","B-TL70DXN2-Q8","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"94228","B-TL70DXN9-8","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"94229","B-TL70DXN9-Q5","50","Ind Wir","S","USA to MTY","USA to MTY","0","USA to MTY","0"
"94230","B-TL70DXN9-Q8","50","Ind Wir","S","USA to MTY","USA to MTY","0","USA to MTY","0"
"94236","B-TL70DXN9-Q8C","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"815796","B-TL70PE-Q2PE","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"812475","B-TL70PK-Q","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"812476","B-TL70PK-QP","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"815798","B-TL70PM-Q","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"815799","B-TL70POE-QPD","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"97513","B-TL70Z-5","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"97514","B-TL70Z-7","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"97515","B-TL70Z-Q5","60","Lighting","S","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"816999","B25-K6LP-Q5","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"24026","BA.443SMETA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21363","BA.753SMETA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"24339","BA.756SMTA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21084","BA1.53PMETA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20325","BA1.53PMTA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21085","BA1.53SMETA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"23395","BA1.53SMETAM600","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20879","BA1.53SMTA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21429","BA1.54SMETA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"21505","BA1.56SMTA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"64396","BA2.51.3S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"20276","BA2.53S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"22650","BA2M300","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
