"Numero De Parte","Descripci?n","Subinventario","Ubicaci?n","Cantidad Disponible",
"19026","CSM4DO-M12121FM12121M","MFG","304.K.23","28",
"809275","K30PLKQ","MFG","303.F.12","113",
"176796","POWER DETECT 818-SL/DB NEWPORT TECH BUILD ONLY","MFG","303.F.34","6",
"817944","BC-M8F4A-M12M4-U22-1","MFG","303.G.12","248",
"20999","BR23SM.625X.020","MFG","303.H.31","40",
"93210","SSA-EBM-12EAAQ12OTBBK50C-93210","MFG","303.K.12","1",
"819464","BC-M12F4Z-18-15","MFG","303.M.11","6",
"75490","OD2S-75490","MFG","304.A.22","2",
"148770","LIT QS18AFF200","MFG","304.B.22","658",
"88010","WLS28-2XW145DXPBQ","MFG","312.I.20","15",
"233294","RESISTOR SMD 0603 300kOhm 1% 0.1W -55C~155C","MFG","305.F.33","9837",
"31930","Q25SP6FF50","MFG","305.B.54","1",
"173242","BASE ASSY E-STOP FLUSH QD 8 PIN EURO TRANSLUCENT 1/2-14 NPSM BOTTOM MOUNT","MFG","305.C.55","1",
"816284","BC-M8F4-M8M4-24-2.5","MFG","305.D.15","5",
"813328","Q2XRPR-2M","MFG","305.E.25","1",
"73465","EZAC-E-QE8-QS3","MFG","305.G.25","1",
"819614","BC-M12F4-M12F4-22-2","MFG","305.H.57","25",
"804685","3401-0542-A00-00","MFG","305.M.35","47",
"88161","M18-3VNLP-Q8","MFG","305.O.47","45",
"86584","TL50BLGGG","MFG","305.P.30","1",
"02271","PCB RAW T18-41787 BTY CAR WASH NOISE IMM/ TH-0.031 IN PA-15","MFG","305.Q.52","120",
"11435","SM-PR-2-F00-PP SV2511","MFG","307.Y.23","3",
"807977","BWA-SC-002","MFG","305.W.27","10",
"92560","M18-3NAES-Q8","MFG","305.W.45","5",
"816505","09526-1203-A00-01","MFG","305.AA.40","5",
"44336","QM42VP6DQ","MFG","308.Y.53","15",
"62625","VS3RP5XLP","MFG","307.Z.27","19",
"78791","K30LGRXN","MFG","307.Z.42","1",
"20560","TL50BLR2ALSQ","MFG","307.AA.32","3",
"34265","Q85BB62R","MFG","307.AA.42","2",
"803588","K30RBT2XRH","MFG","307.AB.12","3",
"26826","TL50BLR2A","MFG","308.X.64","5",
"31214","Q85VR3LP-B","MFG","302.AF.12","1",
"30572","WIRE 11022 BLU 002.12 B Y0.125 Z0.125","MFG","308.AC.51","140",
"806699","TL50P5AQ","MFG","302.AH.32","4",
"818866","BC-M12F4Z-M12M4Z-YE18-15","MFG","302.AI.61","6",
"815858","WLF12XW1200S24QP","MFG","301.L.21","759",
"811822","DX80N9Q45VTPD NB","MFG","300.E.12","10",
"90464","WLS28-2XW570XPWMQ","MFG","316.A.23","7",
"89950","WLB32ZC570PBQMEF","MFG","316.I.10","2",
"87816","WLS28-2CW990DXQ","MFG","315.E.20","7",
"54315","Q45VR3LVQ","MFG","300.G.61","7",
"87932","S18DLHWT","MFG","300.H.41","8",
"35708","SM31RLMHSQDP","MFG","300.N.41","33",
"86064","S22LBXXP","MFG","408.E.12","3",
