"Numero De Parte","Descripci?n","Subinventario","Ubicaci?n","Cantidad Disponible",
"73545","LS2TP30-300Q88","NFG","58.C.02","28",
"807128","SI-MAGB1SM","NFG","58.C.04","390",
"37442","QDC-515C","NFG","58.K.03","47",
"813479","SLLE23-1960L-S","NFG","59.B.02","1",
"63978","PKG3M-9","NFG","77.B.04","2",
"73742","APQ12-1V","NFG","77.B.06","1",
"74261","SMB1812","NFG","77.G.05","1",
"814935","BC-M12F4-22-1","NFG","77.H.04","6",
"811199","INT232-1-CNMW01","NFG","94.C.03","24",
"58416","S18AW3FF25","NFG","94.C.05","1",
"197245","TERMINAL HOUSING K30 ASSY 5 PIN 5 WIRE 26AWG HIGH FLEX","NFG","94.E.01","5",
"68748","QS18EP6LPQ","NFG","94.E.04","3",
"25823","S18DLGRYPQ","NFG","95.B.01","14",
"33859","S18AW3FF50 W/30","NFG","95.E.05","1",
"79909","DS18AP6LPQ8-79909","NFG","104.G.01","1",
"77107","Q12AN6LVQ3","NFG","102.D.03","3",
"85779","DQ12RB6LP","NFG","102.D.03","3",
"805179","QS18VN6AF120Q","NFG","103.G.02","1",
"85834","DQ12RB6RQ5","NFG","103.H.06","1",
"7710033","SO5-L45-VN6X2-0.2-PSG4M","NFG","103.J.02","1",
"59772","SLO30VB6YQ","NFG","73.C.05","9",
"77104","Q12RP6FF30Q3","NFG","73.G.04","1",
"175739","HARDWARE PKT WLB32 DC 1-2 FT","NFG","74.E.04","300",
"816256","S4BA-CASCADE-3-M12M8","NFG","76.B.08","5",
"92668","BSP02-ENBD","NFG","76.C.04","1",
"814316","BSCAB-PIO-F05","NFG","76.D.04","10",
"806634","Q126E-806634","NFG","76.G.06","31",
"802025","WLS15XDW0220DSC2","NFG","76.H.03","3",
"79990","STP-MAQDC-806","NFG","76.H.07","5",
"64483","QS18VP6CV45Q5","NFG","96.G.02","25",
"33204","SMB30S","NFG","88.J.01","80",
"55404","VS2AP5R","NFG","88.H.03","16",
"64181","STBVP6Q5","NFG","88.H.06","7",
"807980","BES58-P0CA0M-CD0H3PB0","NFG","89.H.06","5",
"806011","MQDC2S-1730","NFG","110.G.02","14",
"118703","LS2E30-1050Q8 EZS TYPE2 E SUB ASSY 30mm X 1050mm NO PKG","NFG","112.A.08","8",
"242796","LS2E30-450Q8-BSZ EZS TYPE2 E SUB ASSY 30mm X 450mm NO PACKAGE","NFG","112.B.04","1",
"94299","WLS27CW285DSQ","NFG","112.F.02","2",
"802094","WLS27CWGRYB5-0570DS24Q","NFG","112.J.02","4",
"814781","BCEE-F45-VP-1M","NFG","90.K.04","8",
"816043","QS18VP6LP-816043","NFG","94.L.02","1",
"95695","S18-2VPLP-Q5-95695","NFG","94.L.05","1",
"808401","DQ12AN6FF30Q3","NFG","96.L.05","1",
"76286","K50RPLPGREQ","NFG","92.K.01","19",
"29825","S18RW3R","NFG","92.J.04","2",
"87680","DF-G3IR-PI-Q7","NFG","93.J.04","1",
"73164","QS18UNAEQ","NFG","93.K.04","2",
"28556","S18SN6L","NFG","91.C.02","24",
"75034","SLM120B6QPMA","NFG","87.A.02","5",
"809391","LTF12KC2LD-CNQZ01","NFG","88.D.04","8",
"71931","STP-15","NFG","89.C.01","50",
"814692","IVURDM-QD-885 BSZ","NFG","89.G.07","9",
"13475","QS18VN6R-13475","NFG","93.A.06","4",
"809286","T30UXIAQ8-CNYK01","NFG","93.C.01","18",
"20242","SLO30VB6VQ","NFG","93.C.03","1",
"87513","PBT43U-VL","NFG","77.B.02","228",
"56497","VS1RN5CV20","NFG","77.D.02","5",
"37894","SMBAMSTL50M30","NFG","77.G.02","1",
"80493","T30UXICQPMA","NFG","95.G.04","1",
"89694","SLLP23-630P88","NFG","57.A.02","2",
"10415","RP-RM83F-38LTE 83mm SUB ASSY ROPE PULL METAL HSG LATCH EXTR","NFG","57.J.04","42",
"10415","RP-RM83F-38LTE 83mm SUB ASSY ROPE PULL METAL HSG LATCH EXTR","NFG","58.E.01","23",
"49808","BRT-92X92C","NFG","58.L.04","5655",
"77255","LS2TP30-1800Q88","NFG","59.A.01","57",
"802826","QS18EK6RQ","NFG","77.A.06","4",
"208930","QS18D-803791 PCB QS18 WITH CONNECTOR CORDSET MALE SUB ASSY","NFG","94.B.05","1",
"77099","Q12AN6FF15Q3","NFG","94.G.06","3",
"42880","PDIS46UM12","NFG","95.A.06","3",
"803582","CNXCFF500","NFG","95.A.07","49",
"808748","TL70B-GYRAQBSZ","NFG","95.D.05","4",
"91511","T30UXUC-91511","NFG","95.E.04","2",
"85826","DQ12AB6FF30Q","NFG","104.A.07","5",
"815913","M18UDSEQ8","NFG","104.G.03","30",
"816090","QS30FF400Q-CNXJ01","NFG","104.H.03","1",
"42169","S18-2VPDL-Q3","NFG","104.J.04","4",
"71640","QS18VP6FF50","NFG","102.B.03","7",
"85782","DQ12RB6FF15","NFG","102.C.07","2",
"808788","QS18AB6AF350Q5","NFG","103.G.05","11",
"808067","Q2XANLPF-2M","NFG","103.G.06","1",
"72093","QS18VN6FF100 W/30","NFG","105.E.03","72",
"811740","QS18VP6LPQ-811740","NFG","105.G.01","8",
"7700647","XSOIR100-BS18-VP6X2E-H1141","NFG","105.G.06","2",
"86444","QS186EVQ8","NFG","105.K.02","60",
"215200","REFLECTOR ASSY K50 BEACON PRESS FIT WELDED","NFG","74.B.04","100",
"26496","PPSLC75-BG","NFG","74.J.04","9",
"812608","SOK-TL50-150AC","NFG","76.A.07","18",
"814296","BBR105-130RS","NFG","76.J.07","10",
"814564","QS30FF600-CNXJ01","NFG","96.H.04","1",
"86070","S22LGXXPQ","NFG","97.C.04","38",
"46738","RP-QM72D-6L 72mm SUB ASSY ROPE PULL SAFETY INTERLOCK","NFG","89.H.07","6",
"90813","TCNM-AD-1214","NFG","89.K.03","1",
"52905","PVA225P6","NFG","89.L.03","1",
"33442","T306EQ","NFG","90.H.02","75",
"48012","PDIS46UM3.2","NFG","91.H.05","5",
"801744","QS18EK6XLPCQ7","NFG","93.H.02","4",
"73546","LS2TP30-450Q88","NFG","57.W.02","16",
"78414","SA-E12M30","NFG","110.A.01","399",
"82842","LPA-MBK-12","NFG","110.B.02","9",
"814482","S4BA-RTP-1","NFG","110.E.05","50",
"812356","S4BE14-600-S","NFG","112.C.04","4",
"86944","DELS-111E","NFG","90.K.05","2",
"11941","CL50XXYAN","NFG","94.J.07","1",
"74841","T30UIPBQ-CRFV","NFG","97.K.04","7",
"86556","S18-2VNLPC-2M","NFG","97.J.04","2",
"800548","M18-3VNFF75-2M","NFG","93.J.05","1",
"92505","DF-G2IR-NS-9M","NFG","93.K.05","2",
"801154","QS18VN6FF150Q5","NFG","93.L.04","1",
"92638","BSP02-240AT","NFG","90.C.06","23",
"808692","Q20NLV-808692","NFG","90.D.02","7",
"92217","SG-TL70-YC","NFG","90.E.06","9",
"807609","MQDEC-STP-506SS","NFG","90.F.03","2",
"805732","SR-IM-9A","NFG","88.D.05","19",
"814883","LC25C-WLF12-RGB7Q","NFG","89.A.02","8",
"72508","MAQDC-806","NFG","90.C.01","44",
"800559","M18-3VPFF100-Q5","NFG","93.D.04","4",
"55990","T30UUNAQ","NFG","93.E.02","1",
"819205","LDX5-05EN-RJ","NFG","77.A.03","3",
"86353","K50RPFF50RXDQP","NFG","95.G.05","1",
"45134","MBCC-406","NFG","58.J.02","15",
"55295","VS1AP5C10","NFG","77.E.04","5",
"222861","LABEL CORDSET MAQDCBSZ-810","NFG","77.F.06","83",
"813333","DES2P-41D","NFG","77.G.07","1",
"814013","STP-M12-806 BSZ","NFG","77.G.07","11",
"802670","T18-2VPFF100-Q8","NFG","77.H.07","8",
"232294","HOUSING ASSY QS18 5M CABLE GRAY STRIAN RELIEF WITHOUT POT","NFG","94.E.03","10",
"802486","LMBWLS15","NFG","94.F.01","36",
"815663","Q20NAF400Q7","NFG","94.G.04","7",
"814530","TL50B-BGYRABSZ-CNMW13","NFG","95.C.02","2",
"91079","S18-2VNFF75-2M","NFG","104.L.04","9",
"61653","QS18VN6D W/30","NFG","105.B.03","54",
"06537","DIODE THRU ZENER 6.8V 1N4736A C-PREP (05005) V A0.176 B0.350","NFG","100.A.03","562",
"61393","MBCC2-506","NFG","101.B.01","50",
"127801","HOUSING/LIGHTPIPE Q20 E/R OVERMOLDED","NFG","101.B.08","440",
"807429","Q20NDVS W/30","NFG","102.C.06","2",
"7700260","LO1L10m-BT18-VP6X2-H1141","NFG","102.G.01","1",
"72134","Q12AB6R","NFG","102.G.02","10",
"91064","S18-2VPFF30-2M","NFG","102.H.04","11",
"73083","QS30EQPMA","NFG","103.H.02","1",
"803290","SI-LS42DMMH-803290","NFG","75.E.02","8",
"58433","M18SP6FF25Q","NFG","73.E.05","2",
"25400","K30LGXXPPB2","NFG","76.B.06","15",
"801985","PITL23UM4-VL","NFG","76.C.05","13",
"51918","PVA225P6RQ","NFG","76.D.04","3",
"90821","TCNM-EX-2210","NFG","76.J.03","2",
"816186","BCS1KVN2M","NFG","96.H.04","1",
"804033","S18LGRYPQ-804033","NFG","97.D.01","27",
"71770","S18SP6FF100-71770","NFG","92.H.03","3",
"800692","QS18EN6XLPCQ7","NFG","92.H.05","1",
"814894","S18-2VNFF150-2M-CNBN01","NFG","93.H.06","53",
"809437","LS2TP30-150Q88-CNMW01","NFG","57.W.02","20",
"70975","MQDC2S-806","NFG","110.D.02","497",
"46735","LIT SI-HG80 HINGE SWITCH SAFETY INTERLK","NFG","111.K.04","55",
"116895","WIRE 11034 BRN 001.5 B Y0.125 Z0.125","NFG","111.G.05","5200",
"812389","S4BR30-600-S","NFG","112.C.03","7",
"118698","LS2E30-300Q8 EZS TYPE2 E SUB ASSY 30mm X 300mm NO PKG","NFG","112.D.05","2",
"802034","WLS15XDW0640DSQP","NFG","112.H.04","5",
"73237","QS18VN6LLPQ","NFG","91.J.05","6",
